cap_id	date_utc	build_stamp	source	fed	reg	interval_s	gauge_frames	gauge_dt_s	gauge_base_mm	gauge_lever_mm	final_over_dev_robust	final_over_dev_all	pairwise_median	live_over_dev	live_stage	final_over_live	rms_mm	n_outlier	extent_m	dir
cap_1788272382400201	2026-09-01	Aug 26 2026 03:49:26	pw_backups/pw102_20260906/backup103_20260906_2243	28	28	1.07	0-1	1.60	181	133	0.9505	0.9505	0.9510	0.9479	post_local_ba	1.0028	6.0	0	0.79	/Users/kaidongwang/Developer/pw_backups/pw102_20260906/backup103_20260906_2243/Documents/captures_official/cap_1788272382400201
cap_1788325170602538	2026-09-02	Aug 26 2026 03:49:26	pw_backups/pw102_20260906/backup103_20260906_2243	20	20	1.37	0-1	1.93	183	173	0.9900	0.9900	0.9893	0.9865	post_global_ba	1.0035	4.0	0	0.61	/Users/kaidongwang/Developer/pw_backups/pw102_20260906/backup103_20260906_2243/Documents/captures_official/cap_1788325170602538
cap_1788328445559110	2026-09-02	Aug 26 2026 03:49:26	pw_backups/pw102_20260906/backup103_20260906_2243	20	20	1.20	0-1	1.20	136	136	0.9761	0.9761	0.9766	0.9813	post_global_ba	0.9948	5.1	0	0.66	/Users/kaidongwang/Developer/pw_backups/pw102_20260906/backup103_20260906_2243/Documents/captures_official/cap_1788328445559110
cap_1788330425726298	2026-09-02	Sep  2 2026 14:10:19	pw_backups/pw102_20260906/backup103_20260906_2243	51	51	2.00	0-1	3.40	211	170	0.9695	0.9695	0.9719	0.9724	post_local_ba	0.9970	9.0	0	0.86	/Users/kaidongwang/Developer/pw_backups/pw102_20260906/backup103_20260906_2243/Documents/captures_official/cap_1788330425726298
cap_1788331731870643	2026-09-02	Sep  2 2026 14:10:19	pw_backups/pw102_20260906/backup103_20260906_2243	20	20	2.13	0-1	2.47	224	209	1.0030	1.0030	1.0031	1.0056	post_global_ba	0.9974	3.6	0	0.79	/Users/kaidongwang/Developer/pw_backups/pw102_20260906/backup103_20260906_2243/Documents/captures_official/cap_1788331731870643
cap_1788406273983329	2026-09-03	Sep  2 2026 14:10:19	pw_backups/pw102_20260906/backup103_20260906_2243	20	20	1.87	0-1	15.33	153	111	0.9880	0.9880	0.9874	0.9933	post_global_ba	0.9946	3.4	0	0.83	/Users/kaidongwang/Developer/pw_backups/pw102_20260906/backup103_20260906_2243/Documents/captures_official/cap_1788406273983329
cap_1788431991448354	2026-09-03	Sep  2 2026 14:10:19	pw_backups/pw102_20260906/backup103_20260906_2243	20	20	1.37	0-1	2.87	179	174	0.9460	0.9460	0.9469	0.9489	post_local_ba	0.9970	4.3	0	0.60	/Users/kaidongwang/Developer/pw_backups/pw102_20260906/backup103_20260906_2243/Documents/captures_official/cap_1788431991448354
cap_1788434105975614	2026-09-03	Aug 26 2026 03:49:26	pw_backups/pw102_20260906/backup103_20260906_2243	20	20	1.53	0-1	3.03	233	194	0.9782	0.9782	0.9781	0.9797	post_global_ba	0.9985	3.1	0	0.79	/Users/kaidongwang/Developer/pw_backups/pw102_20260906/backup103_20260906_2243/Documents/captures_official/cap_1788434105975614
cap_1788534792472420	2026-09-04	Sep  2 2026 14:10:19	pw_backups/pw102_20260906/backup103_20260906_2243	20	20	2.13	0-1	2.33	227	223	0.9372	0.9372	0.9364	0.9446	post_local_ba	0.9922	8.8	0	0.80	/Users/kaidongwang/Developer/pw_backups/pw102_20260906/backup103_20260906_2243/Documents/captures_official/cap_1788534792472420
cap_1788535827185057	2026-09-04	Sep  2 2026 14:10:19	pw_backups/pw102_20260906/backup103_20260906_2243	20	20	1.47	0-1	1.93	245	244	0.9716	0.9716	0.9718	0.9689	post_local_ba	1.0028	9.0	0	1.07	/Users/kaidongwang/Developer/pw_backups/pw102_20260906/backup103_20260906_2243/Documents/captures_official/cap_1788535827185057
