#t_ns(== cam0/data.csv),fx,fy,cx,cy
5079078151166,453.8765055338542,453.8765055338542,321.1412353515625,240.17254638671875
5079094819250,453.8566487630208,453.8566487630208,321.13104248046875,240.1751708984375
5079111487500,453.8655598958333,453.8655598958333,321.12929280598956,240.1937459309896
5079128155708,453.7663167317708,453.7663167317708,321.12917073567706,240.19879150390625
5079144823875,453.736572265625,453.736572265625,321.1370035807292,240.2034708658854
5079161492000,453.7077229817708,453.7077229817708,321.1123860677083,240.21075439453125
5079178160083,453.6561279296875,453.6561279296875,321.1196695963542,240.2122599283854
5079194828291,453.5181884765625,453.5181884765625,321.10837809244794,240.22737630208334
5079211496416,453.5111897786458,453.5111897786458,321.09023030598956,240.2481892903646
5079228164666,453.5350341796875,453.5350341796875,321.0954182942708,240.26387532552084
5079244832875,453.5499267578125,453.5499267578125,321.0926920572917,240.2706502278646
5079261501000,453.3563639322917,453.3563639322917,321.078857421875,240.2651163736979
5079278169041,453.2987874348958,453.2987874348958,321.0973714192708,240.2618204752604
5079294837291,453.1885986328125,453.1885986328125,321.0804443359375,240.29606119791666
5079311505500,453.1558430989583,453.1558430989583,321.0670572916667,240.30887858072916
5079328173625,453.0029703776042,453.0029703776042,321.0582275390625,240.3156534830729
5079344841791,452.9612630208333,452.9612630208333,321.06614176432294,240.3088582356771
5079361509833,452.96826171875,452.96826171875,321.07513427734375,240.32588704427084
5079378178041,452.9691975911458,452.9691975911458,321.05487060546875,240.3365275065104
5079394846250,452.7806396484375,452.7806396484375,321.05613199869794,240.3336181640625
5079411514416,452.7340087890625,452.7340087890625,321.06447347005206,240.34590657552084
5079428182541,452.7577718098958,452.7577718098958,321.03936767578125,240.3620402018229
5079444850708,452.7577718098958,452.7577718098958,321.03957112630206,240.36627197265625
5079461518875,452.744873046875,452.744873046875,321.020263671875,240.3910115559896
5079478187000,452.7577718098958,452.7577718098958,321.0223795572917,240.395751953125
5079494855166,452.7508951822917,452.7508951822917,321.00315348307294,240.39208984375
5079511523416,452.7567952473958,452.7567952473958,321.01637776692706,240.4046427408854
5079528191541,452.7498372395833,452.7498372395833,320.99416097005206,240.4189249674479
5079544859666,452.7320149739583,452.7320149739583,321.00201416015625,240.44429524739584
5079561527791,452.73095703125,452.73095703125,320.97882080078125,240.45806884765625
5079578195958,452.72998046875,452.72998046875,320.98545328776044,240.4634806315104
5079594864166,452.7647705078125,452.7647705078125,320.96726481119794,240.4665323893229
5079611532375,452.7816162109375,452.7816162109375,320.9696044921875,240.4972941080729
5079628200541,452.7429606119792,452.7429606119792,320.9462890625,240.5049031575521
5079644868583,452.7388916015625,452.7388916015625,320.9377848307292,240.5246378580729
5079661536708,452.7508951822917,452.7508951822917,320.9337158203125,240.53837076822916
5079678204958,452.7498372395833,452.7498372395833,320.9226481119792,240.5529581705729
