engine	delta_ms	scene	pose	k_ark_pct	k_lidar_pct	ate_cm	seg5_min	seg5_max	seg5_sd	win2_sd	win2_absmax	jitter_deg	same_rms_deg	same_med_deg	ark_same_rms_deg	ark_same_med_deg	s_engine_ms	s_pts_ms	g	n
base	3	13f5	backend_final	0.9264	-1.3141	1.7328	-6.2893	0.9206	2.5316	3.7259	9.8282	0.0587	0.0587	0.0360	0.0372	0.0222	-5.5000	5.5000	1.0006	288
base	3	13f5	front	1.2179	-1.0291	1.7872	-6.8025	0.9706	2.6991	4.1409	8.1534	0.2275			0.0222		-0.5000	10.5000	0.9085	858
base	3	6d18	backend_final	1.0548	-2.9268	2.5362	-1.0383	1.8529	1.0296	2.6383	4.8361	0.0609	0.0609	0.0468	0.0616	0.0266	-5.5000	5.0000	1.0002	288
base	3	6d18	front	1.2297	-2.7587	2.7074	-1.4116	2.2029	1.3863	3.1944	5.6245	0.2775			0.0350		0.0000	10.5000	0.9030	859
base	3	7353	backend_final	3.2128	2.5729	4.1567	-6.8770	1.7958	3.0345	3.5112	8.3283	0.0764	0.0764	0.0478	0.0798	0.0306	-5.5000	6.5000	1.0015	290
base	3	7353	front	3.4991	2.8574	4.3602	-7.4136	1.9694	3.1222	4.0133	8.3798	0.3336			0.0408		0.0000	12.0000	0.9076	862
base	4	13f5	backend_final	0.8796	-1.3599	1.8530	-6.9820	1.0680	2.6443	3.6876	10.6316	0.0605	0.0605	0.0371	0.0372	0.0222	-5.5000	6.5000	1.0007	288
base	4	13f5	front	1.1730	-1.0730	1.8968	-7.4272	0.9512	2.7272	4.0763	9.2278	0.2249			0.0222		-1.0000	11.0000	0.9083	858
base	4	6d18	backend_final	0.8336	-3.1392	2.3762	-1.0925	1.7051	1.0486	2.8471	5.1181	0.0651	0.0651	0.0511	0.0616	0.0266	-5.5000	6.0000	1.0003	288
base	4	6d18	front	0.9868	-2.9921	2.5905	-1.4846	2.4484	1.3915	3.3013	5.7874	0.2756			0.0350		-0.5000	11.0000	0.9028	859
base	4	7353	backend_final	3.6842	3.0413	4.5256	-6.2205	2.0739	3.0023	3.6436	7.5673	0.0799	0.0799	0.0504	0.0798	0.0306	-5.5000	7.5000	1.0016	290
base	4	7353	front	3.9782	3.3335	4.7635	-7.6570	2.4265	3.3846	4.4678	10.3399	0.3322			0.0408		0.0000	13.0000	0.9054	862
base	5	13f5	backend_final	0.7062	-1.5295	1.8880	-7.5693	1.5284	2.8996	3.8005	11.4326	0.0635	0.0635	0.0384	0.0372	0.0222	-5.5000	7.5000	1.0007	288
base	5	13f5	front	1.0146	-1.2279	1.9685	-8.3073	1.4236	3.0846	4.2445	9.9481	0.2233			0.0222		-1.0000	12.0000	0.9128	858
base	5	6d18	backend_final	0.6532	-3.3126	2.3290	-1.1299	1.8521	1.1547	3.1995	6.2815	0.0701	0.0701	0.0548	0.0616	0.0266	-5.5000	7.0000	1.0005	288
base	5	6d18	front	0.7775	-3.1931	2.5893	-1.5055	2.7709	1.4901	3.7038	6.5383	0.2746			0.0350		-0.5000	12.0000	0.9027	859
base	5	7353	backend_final	4.1799	3.5340	5.0603	-6.4579	2.2066	3.2774	3.8880	8.0442	0.0812	0.0812	0.0528	0.0798	0.0306	-5.5000	8.5000	1.0016	290
base	5	7353	front	4.5405	3.8923	5.3099	-7.7068	2.9479	3.6300	4.9759	11.1297	0.3267			0.0408		-0.5000	13.5000	0.9060	862
base	6	13f5	backend_final	0.8893	-1.3505	2.0509	-8.8145	1.7615	3.3096	3.9835	12.5769	0.0668	0.0668	0.0403	0.0372	0.0222	-5.5000	8.5000	1.0002	288
base	6	13f5	front	1.2173	-1.0297	2.1415	-9.2932	1.7516	3.4292	4.6335	11.3795	0.2207			0.0222		-1.0000	13.0000	0.9110	858
