frame,t,wall_ms,cpu_ms,sw_solver_ms,sw_solves,sw_iters,stop_budget,stop_time,stop_iter,stop_conv,init_solver_ms,bk_work_ms,bk_track_ms,bk_track_n,rc,state,queue_wait_ms,recording_frame
140,245422.929787166,0.0212,0.0211,nan,-1,-1,-1,-1,-1,-1,nan,0.0000,0.0000,0,0,1,0.0075,283
141,245422.963123375,0.0165,0.0165,nan,-1,-1,-1,-1,-1,-1,nan,10.6052,10.3262,1,0,1,0.0067,285
142,245422.996459541,0.0229,0.0228,nan,-1,-1,-1,-1,-1,-1,nan,0.0000,0.0000,0,0,1,0.0066,287
143,245423.029795833,0.0225,0.0224,nan,-1,-1,-1,-1,-1,-1,nan,0.0000,0.0000,0,0,1,0.0113,289
144,245423.063132083,0.0276,0.0275,nan,-1,-1,-1,-1,-1,-1,nan,18.5425,18.2675,1,0,1,0.0052,291
145,245423.096468291,0.0278,0.0278,nan,-1,-1,-1,-1,-1,-1,nan,0.0000,0.0000,0,0,1,0.0057,293
146,245423.129804541,0.0520,0.0520,nan,-1,-1,-1,-1,-1,-1,nan,0.0000,0.0000,0,0,1,0.0081,295
147,245423.163140791,0.0236,0.0235,nan,-1,-1,-1,-1,-1,-1,nan,7.2032,6.8527,1,0,1,0.0047,297
148,245423.196477000,0.0290,0.0290,nan,-1,-1,-1,-1,-1,-1,nan,0.0000,0.0000,0,0,1,0.0072,299
149,245423.229813416,0.0301,0.0300,nan,-1,-1,-1,-1,-1,-1,nan,0.0000,0.0000,0,0,1,0.0084,301
150,245423.263149666,0.0279,0.0280,nan,-1,-1,-1,-1,-1,-1,nan,12.5667,12.2904,1,0,1,0.0057,303
151,245423.296485875,0.0278,0.0278,nan,-1,-1,-1,-1,-1,-1,nan,0.0000,0.0000,0,0,1,0.0072,305
152,245423.329822083,0.0354,0.0353,nan,-1,-1,-1,-1,-1,-1,nan,0.0000,0.0000,0,0,1,0.0082,307
153,245423.363158416,0.0312,0.0312,nan,-1,-1,-1,-1,-1,-1,nan,8.1680,7.8723,1,0,1,0.0082,309
154,245423.396494541,0.0333,0.0332,nan,-1,-1,-1,-1,-1,-1,nan,0.0000,0.0000,0,0,1,0.0068,311
155,245423.429830875,0.0409,0.0407,nan,-1,-1,-1,-1,-1,-1,nan,0.0000,0.0000,0,0,1,0.0110,313
156,245423.463167041,0.0355,0.0355,nan,-1,-1,-1,-1,-1,-1,nan,8.0704,7.7302,1,0,1,0.0075,315
157,245423.496503333,0.0303,0.0303,nan,-1,-1,-1,-1,-1,-1,nan,0.0000,0.0000,0,0,1,0.0068,317
158,245423.529839666,0.0425,0.0425,nan,-1,-1,-1,-1,-1,-1,nan,0.0000,0.0000,0,0,1,0.0127,319
159,245423.563175750,0.0338,0.0335,nan,-1,-1,-1,-1,-1,-1,nan,0.0000,0.0000,0,0,1,0.0067,321
160,245423.596512125,0.0237,0.0236,nan,-1,-1,-1,-1,-1,-1,nan,22.1708,21.8764,1,0,1,0.0052,323
161,245423.629848250,0.0310,0.0310,nan,-1,-1,-1,-1,-1,-1,nan,0.0000,0.0000,0,0,1,0.0060,325
162,245423.663184500,0.0225,0.0225,nan,-1,-1,-1,-1,-1,-1,nan,0.0000,0.0000,0,0,1,0.0050,327
163,245423.696520791,0.0236,0.0236,nan,-1,-1,-1,-1,-1,-1,nan,19.4132,19.1499,1,0,1,0.0050,329
164,245423.729857000,0.0225,0.0223,nan,-1,-1,-1,-1,-1,-1,nan,0.0000,0.0000,0,0,1,0.0054,331
165,245423.763193250,0.0313,0.0312,nan,-1,-1,-1,-1,-1,-1,nan,7.6132,7.3229,1,0,1,0.0050,333
166,245423.796529375,0.0285,0.0285,nan,-1,-1,-1,-1,-1,-1,nan,0.0000,0.0000,0,0,1,0.0051,335
167,245423.829865750,0.0292,0.0291,nan,-1,-1,-1,-1,-1,-1,nan,0.0000,0.0000,0,0,1,0.0069,337
168,245423.863201916,0.0254,0.0253,nan,-1,-1,-1,-1,-1,-1,nan,9.6975,9.4080,1,0,1,0.0064,339
169,245423.896538208,0.0401,0.0400,nan,-1,-1,-1,-1,-1,-1,nan,0.0000,0.0000,0,0,1,0.0084,341
170,245423.929874416,0.0394,0.0392,nan,-1,-1,-1,-1,-1,-1,nan,0.0000,0.0000,0,0,1,0.0134,343
171,245423.963210666,0.0311,0.0308,nan,-1,-1,-1,-1,-1,-1,nan,11.9091,11.5810,1,0,1,0.0065,345
172,245423.996546958,0.0465,0.0464,nan,-1,-1,-1,-1,-1,-1,nan,0.0000,0.0000,0,0,1,0.0075,347
173,245424.029883125,0.0212,0.0211,nan,-1,-1,-1,-1,-1,-1,nan,0.0000,0.0000,0,0,1,0.0076,349
174,245424.063219375,0.0282,0.0282,nan,-1,-1,-1,-1,-1,-1,nan,8.2320,7.9221,1,0,1,0.0056,351
175,245424.096555666,0.0290,0.0290,nan,-1,-1,-1,-1,-1,-1,nan,0.0000,0.0000,0,0,1,0.0082,353
176,245424.129891833,0.0357,0.0356,nan,-1,-1,-1,-1,-1,-1,nan,0.0000,0.0000,0,0,1,0.0068,355
177,245424.163228041,0.0309,0.0308,nan,-1,-1,-1,-1,-1,-1,nan,1.0814,0.6998,1,0,1,0.0061,357
178,245424.196564375,0.0505,0.0505,nan,-1,-1,-1,-1,-1,-1,nan,0.0000,0.0000,0,0,1,0.0094,359
