# w h
1920 1440
# curr_x curr_y cpu_x cpu_y cpu_st gpu_x gpu_y gpu_st cpu_rx cpu_ry cpu_rst gpu_rx gpu_ry gpu_rst
983.843628 412.190338 986.122437 414.329224 1 986.122498 414.329254 1 983.842346 412.19101 1 983.842407 412.191162 1
970.343201 486.701935 972.571777 488.857361 1 972.571777 488.85733 1 970.347046 486.711487 1 970.347046 486.711487 1
1089.39966 625.412415 1091.24097 627.636047 1 1091.24084 627.636108 1 1089.40002 625.41333 1 1089.3999 625.413513 1
822.166138 287.528107 824.278442 289.2164 1 824.278442 289.2164 1 822.171692 287.527802 1 822.171692 287.527802 1
1221.43506 229.223541 1223.76685 231.858902 1 1223.76685 231.858887 1 1221.43567 229.224991 1 1221.43567 229.224991 1
720.060059 482.708801 722.398743 484.56842 1 722.398743 484.56842 1 720.060486 482.71109 1 720.060486 482.71109 1
1398.35352 496.480133 1400.63037 499.972198 1 1400.63037 499.972198 1 1398.35486 496.479523 1 1398.35486 496.479523 1
1426.3667 162.575043 1428.92175 165.892471 1 1428.92175 165.892441 1 1426.36462 162.584579 1 1426.36462 162.584579 1
860.395752 329.321777 862.62616 331.192047 1 862.62616 331.192047 1 860.400513 329.324127 1 860.400513 329.324127 1
928.402588 314.568085 930.417847 316.355713 1 930.417969 316.355896 1 928.395813 314.56546 1 928.395935 314.565643 1
816.832153 240.681244 819.058411 242.306274 1 819.058289 242.306198 1 816.832214 240.681396 1 816.832153 240.681305 1
1439.70288 205.446854 1442.29529 208.838165 1 1442.29529 208.83815 1 1439.69934 205.444824 1 1439.69946 205.444809 1
1094.49963 444.864746 1097.01636 447.899261 1 1097.01624 447.899292 1 1094.48499 444.891571 1 1094.48474 444.891693 1
1406.60742 183.801682 1409.1853 187.027924 1 1409.18518 187.027969 1 1406.60571 183.796844 1 1406.60559 183.796814 1
765.762756 294.224396 768.2547 296.037811 1 768.254822 296.037811 1 765.761353 294.223969 1 765.761536 294.223969 1
1210.09387 253.274399 1212.44568 255.862259 1 1212.44568 255.862335 1 1210.0946 253.27594 1 1210.0946 253.276123 1
1345.25159 522.631287 1347.4397 525.788818 1 1347.4397 525.788818 1 1345.2489 522.635437 1 1345.2489 522.635437 1
847.743896 304.751465 849.831482 306.513367 1 849.831482 306.513336 1 847.748718 304.752472 1 847.749084 304.751465 1
892.492615 251.046249 894.473755 252.625519 1 894.473694 252.625534 1 892.478027 251.04071 1 892.477844 251.040695 1
662.121643 477.692169 664.77417 479.572418 1 664.77417 479.572357 1 662.125122 477.692688 1 662.125122 477.692657 1
746.525024 250.144058 748.888733 251.73735 1 748.888611 251.73735 1 746.527527 250.143814 1 746.527466 250.143906 1
1380.70618 468.524353 1383.00867 471.981354 1 1383.00867 471.981354 1 1380.70642 468.523041 1 1380.70642 468.523041 1
991.493408 305.17807 993.50354 306.874817 1 993.50354 306.874847 1 991.487488 305.173157 1 991.487488 305.173157 1
969.411804 388.512604 971.590271 390.575378 1 971.59021 390.575409 1 969.412598 388.510406 1 969.412598 388.510437 1
1627.07544 271.50116 1629.91345 275.945557 1 1629.91345 275.945557 1 1627.06714 271.488678 1 1627.06714 271.488678 1
908.793152 517.28064 910.848816 519.22522 1 910.848816 519.22522 1 908.794373 517.278381 1 908.794373 517.278381 1
981.573059 658.047119 983.631836 659.830444 1 983.631836 659.830444 1 981.573425 658.046814 1 981.573425 658.046814 1
936.268127 396.995514 938.515625 399.072815 1 938.515564 399.072815 1 936.257996 396.997833 1 936.257935 396.997803 1
1358.70117 547.943298 1360.86719 551.212585 1 1360.86719 551.212646 1 1358.69775 547.949524 1 1358.69775 547.949585 1
779.761658 329.654053 782.153687 331.550201 1 782.153687 331.550262 1 779.746765 329.648376 1 779.746704 329.648529 1
920.787781 704.386047 922.71936 706.284851 1 922.71936 706.284851 1 920.788025 704.386963 1 920.788025 704.386963 1
1450.11597 587.417664 1452.3656 591.070374 1 1452.3656 591.070435 1 1450.1156 587.417175 1 1450.1156 587.417236 1
1349.30273 232.111359 1351.88831 235.942932 1 1351.88831 235.942917 1 1349.29919 232.10704 1 1349.29919 232.107025 1
1434.26379 558.487061 1436.52466 562.080444 1 1436.52466 562.080444 1 1434.26367 558.488525 1 1434.26367 558.488525 1
600.842285 238.967239 603.419739 240.527786 1 603.419739 240.527802 1 600.851807 238.974045 1 600.851807 238.974045 1
1020.81879 457.942841 1023.01605 460.193115 1 1023.01605 460.193115 1 1020.82117 457.944092 1 1020.82117 457.944092 1
668.472656 846.303406 670.14209 847.53241 1 670.14209 847.53241 1 668.471375 846.302002 1 668.471375 846.302002 1
477.2677 712.367676 479.175995 713.371826 1 479.175964 713.371826 1 477.267975 712.360229 1 477.267975 712.360229 1
1290.56238 180.084213 1293.71899 183.967789 1 1293.71899 183.967789 1 1290.56921 180.090698 1 1290.56921 180.090698 1
716.601929 276.127106 719.077454 277.783539 1 719.077454 277.783569 1 716.603882 276.131042 1 716.603821 276.131104 1
441.211884 1003.85077 442.701874 1004.66681 1 442.701874 1004.66681 1 441.214905 1003.85059 1 441.214905 1003.85059 1
1202.83423 211.435516 1205.07678 215.116653 1 1205.07678 215.116623 1 1202.83093 211.439011 1 1202.83093 211.439011 1
1006.14191 328.41153 1008.05927 330.255707 1 1008.05927 330.255646 1 1006.1441 328.416046 1 1006.14404 328.415955 1
