mesher exited
13:44:15 rss_kb=3168000
13:44:22 rss_kb=3276400
13:44:28 rss_kb=3138256
13:44:34 rss_kb=3218624
13:44:40 rss_kb=3243968
13:44:46 rss_kb=3598976
13:44:52 rss_kb=3339408
13:44:58 rss_kb=3144736
13:45:04 rss_kb=3133520
13:45:10 rss_kb=3135264
13:45:16 rss_kb=3253520
13:45:22 rss_kb=3213664
13:45:28 rss_kb=3023456
13:45:34 rss_kb=3652800
13:45:40 rss_kb=3218208
13:45:46 rss_kb=3476720
13:45:52 rss_kb=3876192
13:45:58 rss_kb=3528592
13:46:04 rss_kb=3301120
13:46:10 rss_kb=3549904
13:46:16 rss_kb=3136880
13:46:23 rss_kb=3169184
13:46:29 rss_kb=3326512
13:46:35 rss_kb=3192208
13:46:41 rss_kb=3328208
13:46:47 rss_kb=3257472
13:46:53 rss_kb=3368640
13:46:59 rss_kb=3381408
13:47:05 rss_kb=3530432
13:47:11 rss_kb=3048656
13:47:17 rss_kb=3120256
13:47:23 rss_kb=3242384
13:47:29 rss_kb=3187728
13:47:35 rss_kb=3442064
13:47:41 rss_kb=3444992
13:47:47 rss_kb=3396640
13:47:53 rss_kb=3657552
13:47:59 rss_kb=3232336
13:48:05 rss_kb=3106528
13:48:11 rss_kb=3820416
13:48:17 rss_kb=3224464
13:48:23 rss_kb=3471984
13:48:29 rss_kb=3161168
13:48:35 rss_kb=3080144
13:48:42 rss_kb=3107104
13:48:48 rss_kb=3308496
13:48:54 rss_kb=3302352
13:49:00 rss_kb=3150336
13:49:06 rss_kb=3115408
13:49:12 rss_kb=3343632
13:49:18 rss_kb=3239280
13:49:24 rss_kb=3369824
13:49:30 rss_kb=3069920
13:49:36 rss_kb=3188448
13:49:42 rss_kb=3575744
13:49:48 rss_kb=3378256
13:49:54 rss_kb=3221808
13:50:00 rss_kb=3269168
13:50:06 rss_kb=3216336
13:50:12 rss_kb=3769104
13:50:18 rss_kb=3503072
13:50:24 rss_kb=2932368
13:50:30 rss_kb=3718448
13:50:36 rss_kb=2872992
