point_index,track_length,stored_reprojection_error_px,mean_reprojection_error_px,max_reprojection_error_px,max_triangulation_angle_deg,frame_span
6079,3,0.555247,0.555247,0.994985,7.93553,3
6080,3,0.472357,0.472357,0.654361,23.6936,13
6081,3,1.19592,1.19592,2.16802,21.9505,17
6082,7,0.84489,0.84489,1.71399,10.1819,14
6083,6,1.12923,1.12923,2.85365,26.949,15
6084,2,0.665129,0.665129,0.772204,21.9499,17
6085,7,1.10887,1.10887,2.26775,17.3476,8
6086,2,0.144783,0.144783,0.149543,5.48966,1
6087,10,1.49837,1.49837,2.84925,19.7392,15
6088,11,1.44514,1.44514,2.63179,24.2231,11
6089,2,0.13992,0.13992,0.140348,2.93822,1
6090,3,0.932056,0.932056,2.061,9.10054,2
6091,2,1.44246,1.44246,2.60825,4.77063,1
6092,5,1.37497,1.37497,3.72977,25.0813,18
6093,5,0.71771,0.71771,1.26151,14.6218,10
6094,2,1.44246,1.44246,2.60825,4.77063,1
6095,11,1.99966,1.99966,3.20111,19.4395,18
6096,2,1.34782,1.34782,2.28331,4.10918,1
6097,3,1.36481,1.36481,3.17027,13.3485,3
6098,2,0.217755,0.217755,0.219248,2.55453,1
6099,3,1.38608,1.38608,1.92998,10.8392,4
6100,5,1.53542,1.53542,3.39511,16.5975,6
6101,3,1.94711,1.94711,3.05966,13.4946,18
6102,4,0.979332,0.979332,1.69093,21.5933,4
6103,5,0.890753,0.890753,1.74721,11.1665,6
6104,2,0.446001,0.446001,0.449122,14.2427,18
6105,3,0.957636,0.957636,1.9396,12.6171,2
6106,3,0.916505,0.916505,1.85498,7.7687,2
6107,4,1.13565,1.13565,1.90471,23.4682,7
6108,5,1.58956,1.58956,3.2873,21.1237,16
6109,8,0.894452,0.894452,1.87961,29.1505,19
6110,4,1.26406,1.26406,3.09218,6.72308,3
6111,7,0.61793,0.61793,1.00693,17.5807,7
6112,8,1.30711,1.30711,2.74034,19.5029,17
6113,6,1.43868,1.43868,2.00998,18.7529,6
6114,4,1.27431,1.27431,3.43109,14.3285,4
6115,2,0.721043,0.721043,0.921814,4.72696,1
6116,3,0.477111,0.477111,0.584302,18.0186,17
6117,3,0.779833,0.779833,1.17568,5.93628,2
6118,3,0.743245,0.743245,1.13157,13.801,7
6119,3,0.635212,0.635212,1.14633,17.6387,15
6120,3,0.779833,0.779833,1.17568,5.93628,2
