point_index,track_length,stored_reprojection_error_px,mean_reprojection_error_px,max_reprojection_error_px,max_triangulation_angle_deg,frame_span
14677,2,1.27186,1.27186,2.03668,3.51693,1
14678,2,1.48514,1.48514,2.64609,2.77574,1
14679,2,0.264589,0.264589,0.271473,4.48847,1
14680,2,1.20318,1.20318,1.85492,3.47646,1
14681,2,1.57259,1.57259,2.73286,3.45495,1
14682,2,0.742762,0.742762,0.792156,9.46067,2
14683,2,0.669382,0.669382,0.739632,3.63041,1
14684,2,0.812609,0.812609,0.957181,3.7677,1
14685,2,0.812609,0.812609,0.957181,3.7677,1
14686,2,1.20318,1.20318,1.85492,3.47646,1
14687,2,1.39627,1.39627,2.29065,3.43107,1
14688,3,1.00071,1.00071,2.04922,10.3077,2
14689,3,0.405912,0.405912,0.55621,11.3667,2
14690,2,0.447053,0.447053,0.447855,3.28025,1
14691,3,1.12938,1.12938,3.00933,11.0812,2
14692,2,1.48469,1.48469,2.61011,4.33207,1
14693,2,1.80602,1.80602,3.33342,4.23204,1
14694,3,1.30359,1.30359,3.24182,10.8323,2
14695,2,1.45145,1.45145,2.54084,4.19684,1
14696,2,1.8574,1.8574,3.44489,4.2298,1
14697,2,0.208786,0.208786,0.212307,4.33708,1
14698,2,0.69608,0.69608,0.731966,4.22067,1
14699,2,1.73381,1.73381,3.12743,4.01683,1
14700,2,0.298842,0.298842,0.318091,10.8917,2
14701,3,1.11634,1.11634,2.20914,9.93473,2
14702,2,0.135505,0.135505,0.137815,3.88268,1
14703,3,1.3105,1.3105,2.90136,9.49691,2
14704,2,0.101511,0.101511,0.103149,3.86139,1
14705,2,0.507335,0.507335,0.57969,9.49837,2
14706,2,0.0583616,0.0583616,0.0588563,3.04985,1
14707,2,0.189599,0.189599,0.189999,3.06057,1
14708,2,0.183649,0.183649,0.186028,2.94184,1
14709,2,0.512738,0.512738,0.540223,8.82496,2
14710,2,0.189261,0.189261,0.193145,2.79376,1
14711,2,0.31032,0.31032,0.314597,2.88187,1
14712,2,0.0127979,0.0127979,0.0129726,2.83006,1
14713,2,1.22416,1.22416,1.88843,2.63304,1
14714,2,1.25733,1.25733,2.12979,17.5367,3
14715,2,0.0402771,0.0402771,0.0421749,3.17564,1
14716,2,1.22951,1.22951,2.01801,4.11815,1
14717,2,0.788856,0.788856,0.850752,4.5108,1
14718,2,1.07224,1.07224,1.53754,4.51181,1
14719,2,0.95142,0.95142,1.18364,4.52862,1
