run,edge,nn_p50,nn_p90,nn_mean,count_a,count_b
K40,27,0.01674333529988832,0.03221473750547074,0.018335037450103623,2500,2500
K40,28,0.02533392510623018,0.0432028407865959,0.025373213460367815,2500,2500
K40,29,0.011341429396459362,0.02300277038416858,0.012911964354058501,2500,2500
K40,30,0.019728355832035693,0.04522921696454271,0.02329903379467267,2500,2500
K40,31,0.018265068142650852,0.03441061890557803,0.02002208129920034,2500,2500
K40,32,0.022631483300908185,0.05138407513586709,0.026846440998434643,2500,2500
K40,33,0.009548425954085463,0.019910460275664378,0.011904852740665151,2500,2500
K40,34,0.018935176866376194,0.04163417663877665,0.02180244812358725,2500,2500
K40,35,0.017685566431989923,0.03189574860376307,0.018617501295463065,2500,2500
K40,36,0.006794168983056958,0.01627588754765901,0.00857938105128824,2500,2500
K40,37,0.012529866898191626,0.025960683771747983,0.014213518245754838,2500,2500
K40,38,0.01471351332703581,0.027807917883059825,0.015869115826681875,2500,2500
K50,0,0.02004151253510379,0.037872197076106145,0.021629428201238685,2500,2500
K50,1,0.01049573919724518,0.027653320508753684,0.013721793789408122,2500,2500
K50,2,0.025308575243440268,0.07002863593663523,0.0332268705106588,2500,2500
K50,3,0.027791130900620926,0.0729020928258802,0.03591291176213341,2500,2500
K50,4,0.011867158289659036,0.030319290439793044,0.015939072099274053,2500,2500
K50,5,0.027932889836681525,0.053513411490085094,0.029086877650687838,2500,2500
K50,6,0.016801879688079197,0.03518794406905621,0.01910922135151612,2500,2500
K50,7,0.010336148855656174,0.02162345619070478,0.012338850334250149,2500,2500
K50,8,0.020984911999877166,0.03616951825084947,0.0216386154777108,2500,2500
K50,9,0.021950295931775318,0.0881132199000459,0.033170408296954404,2500,2500
K50,10,0.014028229118993603,0.0466627028711033,0.021145677130599314,2500,2500
K50,11,0.015852793822973936,0.0616441965226844,0.026689593709908456,2500,2500
K50,12,0.01276593473747955,0.022347239995819352,0.01379530048663779,2500,2500
K50,13,0.01609867244840528,0.0280428831473282,0.0172541575719488,2500,2500
K50,14,0.014106511593011607,0.027572646241238584,0.01588403832892246,2500,2500
K50,15,0.01668314021261978,0.03953104965845498,0.020479152148394724,2500,2500
K50,16,0.01522756136505582,0.03118793769744688,0.017044496555240967,2500,2500
K50,17,0.02359026369787542,0.06130159343178357,0.0303949781378809,2500,2500
K50,18,0.037329163450341485,0.12237306094852118,0.0544102980602413,2500,2500
K50,19,0.015249532597403352,0.02987173759562994,0.017440908508146526,2500,2500
K50,20,0.01399930591118714,0.02881326539529395,0.016101987253110933,2500,2500
K50,21,0.03686502033530881,0.080930591439539,0.04232571435928245,2500,2500
K50,22,0.03657867121241366,0.07720072660292196,0.04211364932610387,2500,2500
K50,23,0.013133297939139962,0.023367344433777942,0.01440085646254356,2500,2500
K50,24,0.014862680646712655,0.028255964661810677,0.01842339519272424,2500,2500
K50,25,0.016410871143273782,0.027914328760669963,0.01795308659572393,2500,2500
K50,26,0.019580342067379755,0.039892699607602805,0.022024979186451684,2500,2500
K50,27,0.017854563814731342,0.039052909489523106,0.020662904906901886,2500,2500
K50,28,0.02638940711597483,0.044944397051371134,0.026219856753483366,2500,2500
K50,29,0.014704525883432417,0.028576634765163113,0.01653382177587521,2500,2500
K50,30,0.021059535917917024,0.04187471544633307,0.022828191013032857,2500,2500
K50,31,0.017066881090962667,0.03054385396401252,0.017741158073235272,2500,2500
K50,32,0.020195407172323435,0.050739233111397816,0.02497570466494603,2500,2500
K50,33,0.00872393180575341,0.019786332172659064,0.010655584104157283,2500,2500
K50,34,0.020646981122529308,0.04672182860501762,0.023915768706252276,2500,2500
K50,35,0.016016664583616964,0.030063240255866697,0.018369601056463812,2500,2500
